id,draft_year,draft_position,height,height_inches
barnesc01,2022,4,6-8,80
barnhbr01,2026,44,6-5,77
barrean01,2005,NA,5-10,70
barrerj01,2020,3,6-6,78
barroda01,1990,16,5-11,71
barroea01,2006,NA,7-0,84
barrybr01,1996,15,6-6,78
barrydr01,1997,57,6-5,77
barryjo01,1993,21,6-4,76
barryri01,1966,4,6-7,79
bartowi01,2013,40,6-5,77
basdeed01,2006,NA,6-5,77
bassbr01,2006,33,6-8,80
bassech01,2022,53,6-10,82
basseti01,1974,106,6-8,80
basspa01,2022,NA,6-8,80
bastoma01,1999,58,6-9,81
bateeme01,2002,NA,6-11,83
batesbi01,1979,47,6-4,76
batesem01,2024,49,6-9,81
bateske01,2019,48,6-8,80
batises01,2006,NA,6-10,82
batismi01,2003,NA,6-8,80
battish01,2002,6,6-8,80
battito01,1998,5,6-11,83
battlja01,2025,NA,6-7,79
battljo01,1986,84,6-2,74
battlke01,1990,27,6-6,78
battoda01,1979,62,6-10,82
batumni01,2009,25,6-7,79
baughda01,2025,NA,6-4,76
baxtelo01,2003,44,6-8,80
bayleje01,2009,11,6-3,75
baynear01,2013,NA,6-10,82
bazarse01,1995,NA,6-2,74
bazemke01,2013,NA,6-4,76
bazleda01,2020,23,6-9,81
bealbr01,2013,3,6-4,76
beaslje01,2004,33,6-10,82
beaslma01,2017,19,6-4,76
beaslmi01,2009,2,6-9,81
beaubro01,2010,25,6-0,72
beaucma01,2023,24,6-7,79
beckco01,1996,NA,6-1,73
bedfowi01,1987,6,7-0,84
beekmre01,2025,NA,6-3,75
behagro01,1974,7,6-9,81
belinma01,2008,18,6-5,77
bellch01,2002,NA,6-3,75
belljo01,2018,38,6-8,80
bellra01,2001,NA,6-5,77
belltr01,2004,16,6-1,73
bembrde01,2017,21,6-5,77
bendedr01,2017,4,7-0,84
bendejo01,2000,5,6-11,83
benimje01,2015,NA,6-8,80
benjabe01,1986,3,7-0,84
benjaco01,1999,28,6-6,78
bennean01,2014,1,6-8,80
benneel01,1993,38,6-0,72
bennema01,1996,27,6-6,78
benneme01,1977,NA,6-7,79
benneto01,1993,35,6-0,72
bennewi01,1989,64,6-7,79
benoida01,1992,NA,6-8,80
bensoke01,1978,1,6-11,83
bensoke02,2012,48,6-11,83
bentibe01,2017,51,6-9,81
berinjo01,2026,17,6-11,83
bernaju01,2024,NA,6-6,78
berryri01,1989,18,6-8,80
berrywa01,1987,14,6-8,80
bertada01,2012,42,6-10,82
bertada02,2019,NA,6-4,76
beshode01,1979,NA,5-11,71
besttr01,1996,23,5-11,71
beverpa01,2010,42,6-2,74
beysa01,2021,19,6-8,80
beyty01,2021,36,6-7,79
bhullsi01,2015,NA,7-5,89
bibbyhe01,1973,58,6-1,73
bibbymi01,1999,2,6-1,73
biedran01,2005,11,6-11,83
billuch01,1998,3,6-3,75
biniojo01,1985,57,6-8,80
birchkh01,2018,NA,6-8,80
birdja01,2018,56,6-6,78
birdla01,1979,6,6-9,81
birdsot01,1978,2,6-3,75
bitadgo01,2020,18,6-11,83
bitimon01,2024,NA,6-6,78
biyombi01,2012,7,6-8,80
bjeline01,2011,35,6-10,82
blabuw01,1986,17,7-1,85
blackal01,1993,NA,6-6,78
blackan01,2024,6,6-7,79
blackco01,1985,28,6-6,78
blackja01,1995,NA,6-0,72
blackle01,2024,NA,6-6,78
blackna01,1988,27,6-4,76
blackno01,1981,NA,6-5,77
blackro01,1982,9,6-6,78
blackta01,2015,NA,6-9,81
blairde01,2010,37,6-7,79
blakean01,2018,NA,6-4,76
blakest01,2004,38,6-3,75
blalowi01,2007,60,6-0,72
blankla01,1991,26,6-4,76
blantri01,1990,46,6-7,79
blatcan01,2006,49,6-11,83
blaylmo01,1990,12,6-0,72
bledser01,2011,18,6-1,73
blevike01,2021,NA,6-4,76
blossja01,2018,59,6-8,80
blounco01,1994,25,6-9,81
blounma01,1998,55,7-0,84
blueva01,2014,NA,6-4,76
blumera01,1982,36,6-4,76
bobbito01,2005,NA,6-4,76
boehebu01,2023,NA,6-5,77
boganke01,2004,43,6-5,77
bogdabo01,2015,27,6-5,77
bogdabo02,2012,31,6-7,79
boguemu01,1988,12,5-3,63
bogutan01,2006,1,7-0,84
bohanet01,1998,NA,6-9,81
bolbo01,2020,44,7-3,87
boldejo01,2018,36,6-8,80
boldema01,2020,NA,6-10,82
bolma01,1984,97,7-7,91
bolmale01,2021,23,6-6,78
bolomjo01,2017,52,6-9,81
bonaad01,2025,41,6-10,82
bondwa01,1993,NA,6-5,77
bonejo01,2020,57,6-2,74
boneyde01,1997,NA,6-4,76
bongais01,2019,39,6-8,80
bonnean01,1991,23,6-8,80
bonnema01,2004,45,6-10,82
bookede01,2016,13,6-5,77
bookeme01,1996,NA,6-2,74
booketr01,2011,23,6-8,80
boonejo01,2007,23,6-10,82
boonero01,1969,147,6-2,74
boothca01,2000,35,6-11,83
boothke01,1998,28,6-6,78
boozeca01,2003,35,6-9,81
borchcu01,2003,18,7-0,84
borrela01,2000,NA,6-8,80
boshch01,2004,4,6-11,83
bostobr01,2022,51,6-6,78
bostola01,1979,81,6-8,80
bosweto01,1976,17,6-9,81
bouchch01,2018,NA,6-8,80
bouknja01,2022,11,6-4,76
boumtru01,2002,50,7-0,84
bouyeja01,2023,NA,6-2,74
bowdlca01,2000,17,6-10,82
bowenbr01,1997,NA,6-7,79
bowenbr02,2020,NA,6-7,79
bowenry01,1999,55,6-7,79
bowiean01,1987,66,6-6,78
bowiesa01,1985,2,7-1,85
bowmair01,2000,NA,6-5,77
bowmaky01,2020,NA,6-1,73
boycedo01,1996,42,6-5,77
boykiea01,1999,NA,5-5,65
boynewi01,1979,13,6-6,78
bozemce01,2007,NA,6-6,78
brackcr01,2011,21,6-10,82
bradlal01,1978,29,6-6,78
bradlal02,1982,86,6-6,78
bradlav01,2011,19,6-3,75
bradlch01,1982,23,6-5,77
bradldu01,1980,13,6-6,78
bradlmi01,2002,17,6-10,82
bradlsh01,1994,2,7-6,90
bradlto01,2018,28,6-10,82
bradtma01,1997,NA,6-10,82
braggma01,1996,NA,6-8,80
braggto01,1999,57,6-8,80
bramlaj01,2000,39,6-10,82
brancad01,1986,46,6-7,79
brandel01,2000,1,6-9,81
brandte01,1992,11,5-11,71
branhma01,2023,20,6-4,76
bransbr01,1981,45,6-10,82
brantja01,2020,50,6-5,77
bratzmi01,1978,66,6-2,74
braunch01,2023,21,6-6,78
brazdig01,2020,47,6-6,78
breako01,2026,41,6-5,77
breauti01,1995,NA,6-7,79
bremejr01,2003,NA,6-2,74
breuera01,1984,18,7-3,87
breweco01,2008,7,6-9,81
breweja01,2002,41,6-4,76
breweji01,1974,2,6-9,81
brewero01,1979,7,6-4,76
brewero02,2007,14,6-7,79
brezepr01,2001,27,7-2,86
brickfr01,1982,57,6-9,81
bridgja01,2025,NA,6-7,79
bridgju01,1976,8,6-5,77
bridgmi01,2019,10,6-6,78
bridgmi02,2019,12,6-7,79
brimaam01,2021,NA,6-10,82
briscis01,2019,NA,6-3,75
brissos01,2020,NA,6-7,79
bristal01,1974,21,6-7,79
brittda01,1981,57,6-4,76
brittmi01,1986,29,7-0,84
brockiz01,2024,NA,6-4,76
brockjo01,2010,38,6-7,79
broekry01,2019,NA,6-6,78
brogaji01,1982,NA,6-4,76
brogdma01,2017,36,6-4,76
brookaa01,2008,26,6-0,72
brookar01,2021,NA,6-3,75
brookdi01,2018,45,6-7,79
brookke01,1992,18,6-6,78
brookke02,2025,NA,6-7,79
brookma01,2012,25,6-5,77
brookmi01,1981,9,6-7,79
brooksc01,1989,NA,5-11,71
broomjo01,2026,35,6-10,82
brownan01,2007,NA,6-9,81
brownan02,2016,34,6-7,79
brownbo02,2009,NA,6-2,74
brownbr01,2019,42,6-4,76
brownch01,1990,43,6-7,79
brownch02,2020,NA,6-6,78
brownch05,2022,NA,6-5,77
brownda02,2002,37,6-9,81
brownde01,1991,19,6-2,74
brownde02,2003,NA,6-5,77
brownde03,2007,46,6-0,72
brownde04,2010,40,6-7,79
browner01,2001,52,7-0,84
brownfr01,1972,6,6-3,75
brownge02,1999,NA,6-4,76
browngr01,2022,43,6-7,79
brownja01,2015,NA,6-4,76
brownja02,2017,3,6-6,78
brownjo01,1974,10,6-7,79
brownke01,2002,11,6-7,79
brownke03,2023,48,6-6,78
brownko01,2024,30,6-7,79
brownkw01,2002,1,6-11,83
brownle02,1978,69,6-11,83
brownlo01,2014,52,6-5,77
brownma01,1997,46,6-3,75
brownma02,2015,44,6-3,75
brownmi01,1986,69,6-9,81
brownmo01,2020,NA,7-2,86
brownmy01,1992,34,6-3,75
brownpj01,1993,29,6-11,83
brownra01,1990,NA,6-8,80
brownra02,1992,31,6-2,74
brownri01,1981,13,6-10,82
brownro02,1972,64,6-11,83
brownsh01,2007,25,6-4,76
brownst02,2018,46,6-5,77
brownti01,2002,NA,6-2,74
brownto01,1983,82,6-6,78
browntr01,2019,15,6-7,79
brundst01,1990,32,6-6,78
brunsja01,2019,33,6-2,74
brunsri01,1998,NA,6-4,76
brussni01,2017,NA,6-8,80
bryanca01,2026,14,6-6,78
bryanel01,2021,NA,6-5,77
bryanjo01,1976,14,6-10,82
bryanko01,1997,13,6-6,78
bryanma01,1989,21,6-9,81
bryanth01,2018,42,6-9,81
bryanwa01,1983,30,7-0,84
brynto01,1990,NA,6-9,81
buchash01,2022,NA,6-3,75
buckngr01,1999,53,6-4,76
bucknqu01,1977,7,6-3,75
bucknst01,1990,NA,6-6,78
budinch01,2010,44,6-7,79
buechju01,1991,38,6-6,78
bufkiko01,2024,15,6-4,76
buforro01,2000,53,6-5,77
bullama01,1991,NA,6-10,82
bullore01,2014,25,6-6,78
burkepa01,2003,NA,6-11,83
burketr01,2014,9,6-0,72
burkmro01,1982,130,6-5,77
burksal01,2012,12,6-5,77
burksan01,2005,36,6-1,73
burleke01,2006,NA,6-3,75
burleto01,1975,3,7-2,86
burnsda01,1982,49,6-2,74
burnsev01,1994,31,6-8,80
burresc01,1994,20,6-7,79
burroju01,1996,33,6-8,80
burtode02,2019,NA,6-4,76
burtowi01,1991,9,6-8,80
burttst01,1985,30,6-2,74
busedo01,1973,34,6-4,76
butleca01,2003,10,6-7,79
butlegr01,1989,37,6-11,83
butleja01,2005,NA,6-10,82
butleja02,2022,40,6-3,75
butleji01,2012,30,6-6,78
butlejo01,2023,NA,7-0,84
butlemi02,1994,NA,6-5,77
butlera01,2003,53,6-7,79
buyckdw01,2014,NA,6-3,75
buzelma01,2025,11,6-8,80
byarsde01,2008,42,6-7,79
bynuman01,2006,10,7-0,84
bynumwi01,2006,NA,6-0,72
byrnema01,1979,19,6-7,79
cabarza01,2004,17,6-11,83
cabocbr01,2015,20,6-9,81
cacokde01,2020,NA,6-7,79
caffeja01,1996,20,6-8,80
cagemi01,1985,14,6-9,81
cainja01,2023,NA,6-7,79
calatni01,2010,45,6-6,78
caldejo01,2006,NA,6-3,75
caldwad01,1990,NA,6-8,80
caldwke01,2014,8,6-5,77
calhoco01,1973,4,6-7,79
calipde01,1992,NA,6-1,73
callori01,1991,NA,6-6,78
calvima01,1970,187,6-0,72
camarto01,2024,52,6-7,79
cambrde01,1993,NA,6-7,79
cambyma01,1997,2,6-11,83
campafa01,2021,NA,5-10,70
campbel01,1991,27,6-11,83
campbto01,1985,20,6-7,79
canaais01,2014,34,6-0,72
cancavl01,2018,49,6-8,80
cannade01,2021,NA,6-2,74
capelca01,2015,25,6-10,82
caracde01,2011,58,6-9,81
cardibr01,2001,44,6-8,80
cardwdy01,2026,NA,6-10,82
careyve01,2021,32,6-10,82
carlige01,2005,NA,6-3,75
carliri01,1985,70,6-5,77
carlsbr01,2025,NA,7-0,84
carnero01,2007,16,6-7,79
carran01,1984,8,6-9,81
carrau01,1972,1,6-4,76
carrch01,1996,56,6-5,77
carrco01,1999,49,6-3,75
carribo01,1977,28,6-6,78
carrica01,2025,14,6-4,76
carrke01,1978,6,6-7,79
carrml01,1974,76,6-6,78
carrode01,2010,27,6-6,78
carrojo01,1981,1,7-0,84
carroma01,2004,NA,6-6,78
carruji01,1997,NA,6-10,82
cartean01,2000,NA,6-1,73
cartebu01,1981,37,6-5,77
cartede02,2025,13,6-2,74
carteho01,1984,15,6-5,77
carteje01,2019,32,6-0,72
cartema01,2004,NA,6-5,77
cartemi01,2014,11,6-6,78
cartere01,1980,27,6-3,75
cartero01,1979,26,6-5,77
cartevi01,1999,5,6-6,78
cartewe01,2019,7,6-10,82
cartodj01,2024,NA,6-2,74
cartwbi01,1980,3,7-1,85
carusal01,2018,NA,6-5,77
cassesa01,1994,24,6-3,75
casspom01,2010,23,6-9,81
castlco01,2024,NA,6-10,82
castlst01,2025,4,6-6,78
catchha01,1974,138,6-9,81
catlete01,1986,21,6-8,80
catoke01,1998,15,6-11,83
cattabo01,1982,165,6-9,81
caulewi01,2016,6,7-0,84
caupatr01,2019,NA,6-4,76
causwdu01,1991,18,7-0,84
cavanty01,2018,NA,6-9,81
cavenro01,1985,NA,7-1,85
caverah01,2022,NA,6-2,74
cazalma01,2024,NA,6-6,78
cebalce01,1991,48,6-7,79
celesjo01,2000,30,6-4,76
chalmli01,2005,33,6-0,72
chalmma01,2009,34,6-2,74
chambto01,1982,8,6-10,82
champju01,2022,NA,6-6,78
champju02,2023,NA,6-7,79
champmi01,1989,NA,6-10,82
chandke01,2023,38,6-0,72
chandty01,2002,2,7-0,84
chandwi01,2008,23,6-8,80
chanedo01,1969,12,6-5,77
chapmre01,1989,8,6-4,76
charllo01,1986,41,6-7,79
chealjo01,2019,NA,6-4,76
cheanca01,1994,6,6-7,79
cheatzy01,2020,NA,6-5,77
cheekma01,1979,36,6-1,73
cheniph01,1972,NA,6-3,75
cherrwi01,2015,NA,6-0,72
chievde01,1989,16,6-7,79
chilcpe01,1992,27,6-10,82
childch01,1995,NA,6-3,75
childjo01,2005,6,6-8,80
childra01,1996,19,6-2,74
chiozch01,2019,NA,5-11,71
chomcul01,2025,57,6-11,83
choneji01,1974,31,6-11,83
chrisca02,2025,46,6-5,77
chrisdi01,2014,NA,6-5,77
chrisdo01,1993,17,6-6,78
chrisjo01,2022,24,6-4,76
chrisma01,2017,8,6-9,81
chrisma02,2023,35,6-5,77
chrispa01,2015,NA,6-5,77
chrisra01,2016,36,6-9,81
chrisse01,2015,55,6-3,75
churcro01,1996,NA,6-6,78
cissemo01,2026,NA,6-11,83
cissosi01,2024,44,6-6,78
clarkbr01,2020,21,6-8,80
clarkca01,1984,91,6-4,76
clarkco01,2016,NA,6-7,79
clarkea01,2010,14,6-10,82
clarkga01,2019,NA,6-6,78
clarkia01,2014,NA,6-3,75
clarkja02,2024,53,6-5,77
clarkjo01,2015,46,6-5,77
clarkke01,1999,13,6-11,83
clavegi01,2018,NA,6-4,76
clavevi01,2010,22,6-9,81
claxtch01,1995,50,7-0,84
claxtni01,2020,31,6-11,83
claxtsp01,2001,20,5-11,71
claytwa01,2026,18,6-4,76
cleamji01,1972,13,6-3,75
cleavma01,2001,14,6-2,74
clemoch01,2020,NA,5-9,69
clevean01,2018,NA,6-5,77
cliffni01,2026,24,6-5,77
clingdo01,2025,7,7-2,86
closske01,1998,NA,7-3,87
clownno01,2024,21,6-10,82
coffeam01,2020,NA,6-7,79
cofferi01,1991,NA,6-6,78
cofiefr01,1986,73,6-3,75
cokerjo01,1996,NA,7-0,84
colembe01,1985,37,6-9,81
colemde01,1991,1,6-10,82
colemno01,1988,38,6-8,80
coleno01,2012,28,6-2,74
colesbi01,1991,40,6-0,72
colliar01,1977,103,6-4,76
collida01,2010,21,6-0,72
collido01,1974,1,6-6,78
collido02,1981,18,6-6,78
colliis01,2025,29,6-4,76
collija01,1998,37,6-4,76
collija02,2001,15,7-0,84
collija03,2002,53,6-11,83
collija04,2002,18,7-0,84
collijo01,2018,19,6-9,81
colliky01,2018,NA,6-6,78
collima01,2007,29,6-6,78
collini01,2004,12,6-10,82
collish01,2011,NA,5-11,71
colliyu01,2025,NA,6-0,72
colliza01,2018,10,6-9,81
colsobo01,2019,NA,6-6,78
colsose01,2001,NA,6-0,72
coltest01,1985,33,6-3,75
comanch01,2023,NA,6-10,82
combsle01,1984,26,6-8,80
comegda01,1988,21,6-9,81
conlemi01,2008,4,6-1,73
conloma01,1992,NA,6-10,82
connapa01,2016,41,6-5,77
connele01,1983,14,6-4,76
conrowi01,2007,NA,6-2,74
cookan01,1990,24,6-9,81
cookbr01,2004,24,6-9,81
cookda01,1981,70,6-3,75
cookda02,2008,21,6-5,77
cookech01,2018,NA,6-5,77
cookeda01,1986,NA,6-8,80
cookeja01,2026,NA,6-6,78
cookje01,1979,49,6-10,82
cookom01,2002,32,6-1,73
cookqu01,2017,NA,6-1,73
cooksxa01,2023,NA,6-8,80
cookty01,2020,NA,6-8,80
cooleja01,2015,NA,6-10,82
coopedu01,1993,36,6-1,73
coopejo01,1982,95,6-10,82
coopemi01,1979,60,6-7,79
coopesh01,2022,48,6-0,72
coopewa01,1979,40,6-10,82
copato01,1992,NA,6-10,82
copelch01,2013,NA,6-9,81
copelho01,1979,46,6-6,78
copella01,1990,NA,6-6,78
corbity01,1986,35,6-6,78
corchch01,1992,36,6-0,72
cornepe01,2017,53,6-11,83
corzida01,1979,18,6-11,83
costema01,2018,NA,6-10,82
cottobr01,2015,NA,6-1,73
cottoja02,1998,33,6-5,77
coughjo01,1974,74,6-7,79
coulibi01,2024,7,6-7,79
councri01,2024,NA,6-6,78
courtjo01,1993,NA,6-8,80
couside01,2011,5,6-10,82
cousima01,2011,NA,6-11,83
covinro01,2014,NA,6-7,79
cowarce01,2026,11,6-5,77
cowenda01,1971,4,6-9,81
coxch01,1979,159,6-2,74
crabbal01,2014,31,6-5,77
craigto01,2018,NA,6-5,77
crawfch01,1998,51,6-9,81
crawfis01,2025,NA,6-6,78
crawfja01,2001,8,6-5,77
crawfjo01,2009,58,6-5,77
crawfjo02,2011,27,6-4,76
creekmi01,2019,NA,6-6,78
creviro01,1984,75,7-0,84
crispjo01,2002,NA,6-0,72
crissch01,1978,NA,5-8,68
critewi01,1988,53,6-7,79
crittja01,2008,19,6-5,77
crompge01,1979,70,6-11,83
crosbte01,1980,62,6-4,76
croshau01,1998,12,6-9,81
crossje01,1985,61,6-10,82
crossru01,1984,6,6-10,82
crottjo01,1993,NA,6-1,73
crowdco01,1992,NA,6-5,77
crowdja01,2013,34,6-6,78
crutcja01,2024,NA,6-1,73
cuiyo01,2025,NA,6-5,77
culveja01,2020,6,6-6,78
cumbeja01,2022,NA,6-5,77
cummipa01,1979,59,6-9,81
cummite01,1983,2,6-9,81
cummivo01,2000,26,6-3,75
cunnica01,2022,1,6-6,78
cunnida01,2010,33,6-8,80
cunnija01,2013,24,6-4,76
cunniwi01,1998,NA,6-11,83
curcira01,1993,NA,6-10,82
curetea01,1980,58,6-9,81
curlebi01,1995,22,6-9,81
curryde01,1987,15,6-4,76
curryed01,2002,4,7-0,84
curryja01,2008,51,6-3,75
currymi01,1994,NA,6-5,77
curryse01,2014,NA,6-1,73
curryst01,2010,7,6-2,74
cvetkra01,1996,NA,7-1,85
dadiepa01,2025,25,6-9,81
dailequ01,1983,7,6-3,75
dalemsa01,2002,26,6-11,83
dampier01,1997,10,6-11,83
dandrbo01,1970,45,6-6,78
daniean01,1998,4,6-4,76
daniedy01,2023,8,6-7,79
danieer01,2005,NA,6-8,80
daniell01,1993,NA,6-7,79
daniema01,2004,NA,6-6,78
danietr01,2014,NA,6-4,76
danilsa01,1993,43,6-5,77
dantlad01,1977,6,6-5,77
dareyi01,1995,14,7-0,84
darlina01,2021,NA,6-5,77
dasiltr01,2025,18,6-8,80
datomlu01,2014,NA,6-8,80
daughbr01,1987,1,7-0,84
davidje01,2008,36,6-10,82
davidko01,1999,NA,6-9,81
daviebr01,2014,NA,6-10,82
davisan01,1991,45,6-9,81
davisan02,2013,1,6-10,82
davisba01,2000,3,6-3,75
davisbe01,1997,43,6-9,81
davisbr01,1978,15,6-3,75
davisbr02,1993,48,6-7,79
davisch02,1982,35,6-7,79
davisda01,1992,13,6-11,83
davisde01,2017,31,6-9,81
davised01,2011,13,6-9,81
davisem01,1997,NA,6-4,76
davisgl01,2008,35,6-9,81
davisha01,1979,33,6-7,79
davishu01,1993,20,6-5,77
davisjd01,2023,53,6-1,73
davisjo01,1977,22,6-2,74
davisjo02,2004,NA,6-8,80
davisjo06,2023,10,6-4,76
davisma01,1986,79,6-6,78
davisma02,1996,48,6-7,79
davismi03,1983,NA,6-10,82
davismo01,1981,21,6-7,79
davispa01,2007,34,6-11,83
davisri01,1999,21,6-6,78
davisro01,1977,70,6-6,78
daviste01,1990,NA,6-9,81
daviste02,2020,NA,6-4,76
davisty01,2019,NA,6-10,82
daviswa03,1978,5,6-6,78
dawkian01,2015,NA,6-5,77
dawkida01,1976,5,6-11,83
dawkijo01,1987,10,6-2,74
dawkipa01,1980,185,6-5,77
dawsobr01,2016,56,6-6,78
dawsoer01,2012,NA,6-9,81
dawsoto01,1991,NA,6-7,79
dayeau01,2010,15,6-11,83
dayeda01,1984,57,6-8,80
daysda01,2023,NA,6-7,79
dayto01,1993,8,6-6,78
deanegr01,1980,67,6-4,76
deckga01,2021,NA,6-6,78
declean01,1996,34,6-10,82
decolna01,2010,53,6-5,77
dedmode01,2014,NA,6-10,82
deherte01,1994,13,6-2,74
dejeabr01,2016,NA,6-6,78
dekkesa01,2016,18,6-9,81
delanma01,2017,NA,6-3,75
delauja01,2022,NA,6-10,82
delebi01,1992,10,6-11,83
delfica01,2004,25,6-6,78
delgaan01,2019,NA,6-10,82
delkto01,1997,16,6-1,73
dellama01,2014,NA,6-3,75
delnevi01,1989,29,6-4,76
dembofe01,1989,30,6-5,77
demicla01,1980,9,6-9,81
demineg01,2026,8,6-8,80
dempsde01,1994,NA,6-3,75
denglu01,2005,7,6-9,81
dennake01,1982,78,6-8,80
dennide01,2024,NA,6-5,77
dennira01,2025,NA,6-1,73
dentmju01,2012,NA,5-11,71
derozde01,2010,9,6-6,78
derrima01,2019,NA,6-7,79
diabamo01,2023,43,6-10,82
diakima01,2021,NA,6-9,81
dialde01,1999,52,6-4,76
diallch01,2017,33,6-8,80
diallha01,2019,45,6-5,77
diawamo01,2026,51,6-9,81
diawaya01,2007,NA,6-7,79
diawbo01,2004,21,6-8,80
diazgu01,2007,52,6-2,74
dickada01,2003,28,6-0,72
dickeka01,2001,50,6-8,80
dickemi01,1999,14,6-5,77
dickgr01,2024,13,6-7,79
dickihu01,2026,NA,7-1,85
dienetr01,2006,38,6-1,73
dienggo01,2014,21,6-10,82
diengou01,2023,11,6-9,81
dietrco01,1971,155,6-10,82
dillami01,1982,55,6-3,75
dilliro01,2025,8,6-2,74
dinkiby01,1990,NA,6-1,73
dinwisp01,2015,38,6-5,77
dioguik01,2006,9,6-8,80
diopde01,2002,8,7-0,84
divacvl01,1990,26,7-1,85
divindo01,2019,17,6-4,76
dixonju01,2003,17,6-3,75
djordal01,1997,NA,6-2,74
doleami01,1999,12,6-11,83
donalja01,1980,73,7-2,86
doncilu01,2019,3,6-8,80
donovbi01,1988,68,5-11,71
doolike01,2001,10,6-3,75
dorseja01,1977,26,6-7,79
dorsejo01,2009,33,6-8,80
dorsety01,2018,41,6-4,76
dortlu01,2020,NA,6-4,76
dosunay01,2022,38,6-4,76
dotsoda01,2018,44,6-5,77
dotsode01,2021,NA,6-1,73
doubyqu01,2007,19,6-3,75
douglbr01,1987,57,6-3,75
douglch01,2009,40,6-7,79
dougljo01,1979,118,6-2,74
douglle01,1977,4,6-10,82
douglsh01,1990,28,6-0,72
douglto01,2010,29,6-2,74
doumbse01,2020,15,6-8,80
dowdeza01,2011,NA,6-3,75
dowtije01,2022,NA,6-3,75
doylemi01,2018,NA,6-4,76
doziepj01,2018,NA,6-6,78
doziete01,1990,NA,6-9,81
dragigo01,2009,45,6-4,76
dragizo01,2015,NA,6-5,77
dreilgr01,1987,26,7-1,85
drellhe01,2024,NA,6-8,80
drewbr01,1999,16,6-2,74
drewjo01,1975,25,6-6,78
drewla01,1981,17,6-1,73
drewla02,2015,NA,6-2,74
drexlcl01,1984,14,6-7,79
driggna01,1997,NA,6-5,77
drobnpr01,1998,49,6-11,83
drollra01,1977,121,7-2,86
drumman01,2013,9,6-11,83
duartch01,2022,13,6-5,77
ducasal01,2025,NA,6-7,79
duckwke01,1987,33,7-0,84
dudlech02,1988,75,6-11,83
dudleja01,2008,22,6-6,78
duerote01,1980,48,6-2,74
duhonch01,2005,38,6-1,73
dukandu01,2016,NA,6-9,81
dukeda01,2022,NA,6-4,76
dumarjo01,1986,18,6-3,75
dumasri02,1992,46,6-7,79
dumasto01,1995,19,6-6,78
duncati01,1998,1,6-11,83
dunlemi01,1977,99,6-3,75
dunlemi02,2003,3,6-9,81
dunnkr01,2017,5,6-3,75
dunnry01,2025,28,6-7,79
dunntr01,1978,41,6-4,76
duprero01,2004,NA,6-7,79
duranke01,2008,2,6-11,83
durenja01,2023,13,6-10,82
durenjo01,1981,19,6-3,75
durhapa01,1990,35,6-7,79
durrade01,1985,25,6-7,79
duvaltr01,2019,NA,6-2,74
dykemcr01,1982,66,6-8,80
dysonje01,2012,NA,6-3,75
eacklle01,1989,36,6-5,77
earlac01,1994,19,6-10,82
earlycl01,2015,34,6-8,80
easonta01,2023,17,6-8,80
eatonma01,1980,107,7-4,88
eavesje01,1983,55,6-4,76
ebankde01,2011,43,6-9,81
ebind01,2004,26,6-9,81
echenja01,2022,NA,6-11,83
eddieja01,2016,NA,6-7,79
eddiepa01,1992,NA,6-11,83
edelike01,1985,140,6-8,80
edeyza01,2025,9,7-3,87
edgecvj01,2026,3,6-4,76
edmonke01,1983,10,6-5,77
edneyty01,1996,47,5-10,70
edwaran01,2021,1,6-4,76
edwarbi01,1994,NA,6-8,80
edwarbl01,1990,21,6-4,76
edwarca01,2020,33,5-11,71
edwarco01,2003,58,6-9,81
edwardo01,1994,15,6-7,79
edwarfr01,1982,22,6-1,73
edwarja01,1978,46,7-1,85
edwarja02,1990,33,6-4,76
edwarje01,2025,NA,7-0,84
edwarjo01,2005,NA,7-0,84
edwarju01,2025,NA,6-7,79
edwarke01,1989,20,6-3,75
edwarke02,2022,44,6-8,80
edwarro01,2022,NA,6-5,77
edwarsh01,2014,NA,6-7,79
edwarvi01,2019,52,6-8,80
ehlocr01,1984,48,6-6,78
eisleho01,1995,30,6-2,74
ekeziob01,2000,37,6-9,81
elamikh01,2001,34,5-10,70
eliema01,1986,160,6-5,77
ellebcj01,2021,46,6-6,78
ellenhe01,2017,18,6-10,82
ellinwa01,2010,28,6-4,76
elliobo01,1978,42,6-9,81
elliose01,1990,3,6-8,80
ellisbo02,1978,17,6-9,81
ellisda01,1984,9,6-7,79
ellisha01,1994,NA,6-5,77
elliske01,2023,NA,6-4,76
ellisla01,1993,5,6-8,80
ellisle02,1992,22,6-9,81
ellismo01,2006,40,6-3,75
ellispe01,1990,1,6-9,81
elmorle01,1975,13,6-9,81
elsonfr01,2000,41,7-0,84
elyme01,2003,12,6-10,82
embiijo01,2015,3,7-0,84
emmetan01,2005,35,6-5,77
englech01,1983,60,6-11,83
englewa01,1989,NA,6-8,80
engliaj01,1991,37,6-3,75
englial01,1977,23,6-8,80
englijo01,1993,NA,6-4,76
engliki01,2013,44,6-6,78
ennisja01,2014,50,6-6,78
ennisty01,2015,18,6-3,75
erdense01,2009,60,7-0,84
ervinju01,1973,12,6-7,79
eschmev01,2000,34,6-11,83
esposvi01,1996,NA,6-3,75
etienty01,2025,NA,6-0,72
eubandr01,2019,NA,6-10,82
evansbr01,1997,27,6-8,80
evansea01,1979,157,6-8,80
evansja01,2018,39,6-0,72
evansja02,2019,28,6-4,76
evansje01,2011,55,6-9,81
